symbol,company,regulation,nameoftheacquirerdisposer,categoryofperson,typeofsecurityprior,noofsecurityprior,shareholdingprior,typeofsecurityacquireddisplosed,noofsecuritiesacquireddisplosed,valueofsecurityacquireddisplosed,acquisitiondisposaltransactiontype,typeofsecuritypost,noofsecuritypost,post,dateofallotmentacquisitionfrom,dateofallotmentacquisitionto,dateofinitmationtocompany,modeofacquisition,derivativetypesecurity,derivativecontractspecification,notionalvaluebuy,numberofunitscontractlotsizebuy,notionalvaluesell,numberofunitscontractlotsizesell,exchange,remark,broadcastedateandtime,xbrl,scripcode,mseisymbol,companyname,isin,personcategory,personname,instrumenttype,securitynumberheldprior,securitiespercentageheldprior,noofsecurities,securityvalue,securitytype,postsecurities,postsecuritypercentage,allotmentadvicedate,saleofsharesspecifytodate,dateofintimation,modeofacquisionordisposal,exchangeonwhichthetradewasexecuted,valueinaggregate
ASTERDM,Aster DM Healthcare Limited,7(2),ANOOP MOOPEN,Director,Equity Shares,991084,0.2,,5325.0,848355,Buy,Equity Shares,996409,0.20,27-Sep-2018,27-Sep-2018,29-Sep-2018,Market Purchase,-,-,0,0,0.0,0,NSE,-,29-Sep-2018 18:54,https://archives.nseindia.com/corporate/xbrl/IT_1042695_40661_29092018065443_WEB.xml,540975,NOTLISTED,Aster DM Healthcare Limited,INE914M01019,Director,ANOOP MOOPEN,Equity Shares,996409,0.2,3891,620699.0,Buy,1000300,0.2,2018-09-27,2018-09-27,2018-09-29,Market Purchase,BSE,
ASTERDM,Aster DM Healthcare Limited,7(2),ANOOP MOOPEN,Director,Equity Shares,996409,0.2,,3891.0,620699,Buy,Equity Shares,1000300,0.20,27-Sep-2018,27-Sep-2018,29-Sep-2018,Market Purchase,-,-,0,0,0.0,0,BSE,-,29-Sep-2018 18:54,https://archives.nseindia.com/corporate/xbrl/IT_1042695_40661_29092018065443_WEB.xml,540975,NOTLISTED,Aster DM Healthcare Limited,INE914M01019,Director,ANOOP MOOPEN,Equity Shares,996409,0.2,3891,620699.0,Buy,1000300,0.2,2018-09-27,2018-09-27,2018-09-29,Market Purchase,BSE,
SPAL,S. P. Apparels Limited,7(2),Mrs.S.Latha,Promoters,Equity Shares,3015611,11.74,,8898.0,2473586.95,Buy,Equity Shares,3024509,11.77,24-Sep-2018,27-Sep-2018,28-Sep-2018,Market Purchase,-,-,0,0,0.0,0,"BSE,NSE",-,29-Sep-2018 18:37,https://archives.nseindia.com/corporate/xbrl/IT_1042691_40646_29092018063752_WEB.xml,540048,NOTLISTED,S. P. Apparels Limited,INE212I01016,Promoters,Mrs.S.Latha,Equity Shares,3015611,11.74,8898,2473586.95,Buy,3024509,11.77,2018-09-24,2018-09-27,2018-09-28,Market Purchase,"BSE,NSE",2473586.95
HUBTOWN,Hubtown Limited,7(2),Vyomesh M. Shah HUF,Promoters,Equity Shares,3925000,5.4,,150000.0,6135000,Pledge,Equity Shares,3925000,5.40,28-Sep-2018,28-Sep-2018,29-Sep-2018,Pledge Creation,-,-,0,0,0.0,0,,-,29-Sep-2018 18:29,https://archives.nseindia.com/corporate/xbrl/IT_1042689_40640_29092018062957_WEB.xml,0,NOTLISTED,Hubtown Limited,INE703H01016,Promoters,Vyomesh M. Shah HUF,Equity Shares,3925000,5.4,150000,6135000.0,Pledge,3925000,5.4,2018-09-28,2018-09-28,2018-09-29,Pledge Creation,,6135000.0
HUBTOWN,Hubtown Limited,7(2),Hemant M. Shah HUF,Promoters,Equity Shares,4980500,6.85,,2850000.0,116565000,Pledge,Equity Shares,4980500,6.85,28-Sep-2018,28-Sep-2018,29-Sep-2018,Pledge Creation,-,-,0,0,0.0,0,,-,29-Sep-2018 18:23,https://archives.nseindia.com/corporate/xbrl/IT_1042686_40637_29092018062312_WEB.xml,0,NOTLISTED,Hubtown Limited,INE703H01016,Promoters,Hemant M. Shah HUF,Equity Shares,4980500,6.85,2850000,116565000.0,Pledge,4980500,6.85,2018-09-28,2018-09-28,2018-09-29,Pledge Creation,,116565000.0
HUBTOWN,Hubtown Limited,7(2),Hemant M. Shah HUF,Promoters,Equity Shares,4980500,6.85,,2850000.0,131100000,Pledge Revoke,Equity Shares,4980500,6.85,24-Sep-2018,24-Sep-2018,25-Sep-2018,Off Market,-,-,0,0,0.0,0,,-,29-Sep-2018 18:04,https://archives.nseindia.com/corporate/xbrl/IT_1042685_40625_29092018060424_WEB.xml,0,NOTLISTED,Hubtown Limited,INE703H01016,Promoters,Hemant M. Shah HUF,Equity Shares,4980500,6.85,2850000,131100000.0,Pledge Revoke,4980500,6.85,2018-09-24,2018-09-24,2018-09-25,Off Market,,131100000.0
VSSL,Vardhman Special Steels Limited,7(2),SACHIT JAIN,Promoters,Equity Shares,4711285,13.2,,5204.0,597731,Buy,Equity Shares,4716489,13.21,27-Sep-2018,27-Sep-2018,28-Sep-2018,Market Purchase,-,-,0,0,0.0,0,"BSE,NSE",-,29-Sep-2018 17:47,https://archives.nseindia.com/corporate/xbrl/IT_1042683_40611_29092018054704_WEB.xml,534392,NOTLISTED,Vardhman Special Steels Limited,INE050M01012,Promoters,SACHIT JAIN,Equity Shares,4711285,13.2,5204,597731.0,Buy,4716489,13.21,2018-09-27,2018-09-27,2018-09-28,Market Purchase,"BSE,NSE",597731.0
ASHOKA,Ashoka Buildcon Limited,7(2),ASHOK MOTILAL KATARIYA,Promoters,Equity Shares,15215602,5.42,,20137.0,1990923,Buy,Equity Shares,15235739,5.43,28-Sep-2018,28-Sep-2018,29-Sep-2018,Market Purchase,-,-,0,0,0.0,0,"BSE,NSE",-,29-Sep-2018 17:43,https://archives.nseindia.com/corporate/xbrl/IT_1042684_40607_29092018054339_WEB.xml,533271,NOTLISTED,Ashoka Buildcon Limited,INE442H01029,Promoters,ASHOK MOTILAL KATARIYA,Equity Shares,15215602,5.42,20137,1990923.0,Buy,15235739,5.43,2018-09-28,2018-09-28,2018-09-29,Market Purchase,"BSE,NSE",1990923.0
SSWL,Steel Strips Wheels Limited,7(2),Chandigarh Aircraft Management Services Pvt. Ltd,Promoter Group,Equity Shares,5087,0.03,,10543.0,11247438.62,Buy,Equity Shares,15630,0.10,28-Sep-2018,28-Sep-2018,29-Sep-2018,Market Purchase,-,-,0,0,0.0,0,"BSE,NSE",-,29-Sep-2018 17:30,https://archives.nseindia.com/corporate/xbrl/IT_1042678_40595_29092018053058_WEB.xml,513262,NOTLISTED,Steel Strips Wheels Limited,INE802C01017,Promoter Group,Chandigarh Aircraft Management Services Pvt. Ltd,Equity Shares,5087,0.03,10543,11247438.62,Buy,15630,0.1,2018-09-28,2018-09-28,2018-09-29,Market Purchase,"BSE,NSE",11247438.62
SSWL,Steel Strips Wheels Limited,7(2),Chandigarh Aircraft Management Services Pvt. Ltd,Promoter Group,Equity Shares,Nil,0.0,,5087.0,5380641.61,Buy,Equity Shares,5087,0.03,27-Sep-2018,27-Sep-2018,29-Sep-2018,Market Purchase,-,-,0,0,0.0,0,"BSE,NSE",-,29-Sep-2018 17:26,https://archives.nseindia.com/corporate/xbrl/IT_1042673_40589_29092018052627_WEB.xml,513262,NOTLISTED,Steel Strips Wheels Limited,INE802C01017,Promoter Group,Chandigarh Aircraft Management Services Pvt. Ltd,Equity Shares,0,0.0,5087,5380641.61,Buy,5087,0.03,2018-09-27,2018-09-27,2018-09-29,Market Purchase,"BSE,NSE",5380641.61
KARURVYSYA,Karur Vysya Bank Limited,7(2),T SIVARAMA PRASAD,Key Managerial Personnel,Equity Shares,27419,0.0,,2000.0,158317,Buy,Equity Shares,29419,0.00,28-Sep-2018,28-Sep-2018,29-Sep-2018,Market Purchase,-,-,0,0,0.0,0,NSE,-,29-Sep-2018 17:08,https://archives.nseindia.com/corporate/xbrl/IT_1042676_40575_29092018050858_WEB.xml,0,NOTLISTED,Karur Vysya Bank Limited,INE036D01028,Key Managerial Personnel,T SIVARAMA PRASAD,Equity Shares,27419,0.0,2000,158317.0,Buy,29419,0.0,2018-09-28,2018-09-28,2018-09-29,Market Purchase,NSE,158317.0
MASFIN,MAS Financial Services Limited,7(2),ANAMAYA CAPITAL LLP,Promoter Group,Equity Shares,28150,0.05,,4900.0,2500296.60,Buy,Equity Shares,33050,0.06,28-Sep-2018,28-Sep-2018,29-Sep-2018,Market Purchase,-,-,0,0,0.0,0,NSE,-,29-Sep-2018 16:27,https://archives.nseindia.com/corporate/xbrl/IT_1042679_40559_29092018042708_WEB.xml,0,NOTLISTED,MAS Financial Services Limited,INE348L01012,Promoter Group,ANAMAYA CAPITAL LLP,Equity Shares,28150,0.05,4900,2500296.6,Buy,33050,0.06,2018-09-28,2018-09-28,2018-09-29,Market Purchase,NSE,2500296.6
AUROPHARMA,Aurobindo Pharma Limited,7(2),Badarinadh Gupta Peruri,Employees/Designated Employees,Equity Shares,3730,0.0,,1732.0,1332534,Sell,Equity Shares,1998,0.00,07-Sep-2018,25-Sep-2018,27-Sep-2018,Market Sale,-,-,0,0,0.0,0,NSE,-,29-Sep-2018 16:14,https://archives.nseindia.com/corporate/xbrl/IT_1042677_40555_29092018041431_WEB.xml,0,NOTLISTED,Aurobindo Pharma Limited,INE406A01037,Employees/Designated Employees,Badarinadh Gupta Peruri,Equity Shares,3730,0.0,1732,1332534.0,Sell,1998,0.0,2018-09-07,2018-09-25,2018-09-27,Market Sale,NSE,1332534.0
STARCEMENT,Star Cement Limited,7(2),SANJAY KUMAR GUPTA,Key Managerial Personnel,Equity Shares,22285,0.01,,13063.0,1361752.50,Sell,Equity Shares,9222,0.00,27-Sep-2018,28-Sep-2018,29-Sep-2018,Market Sale,-,-,0,0,0.0,0,NSE,-,29-Sep-2018 15:44,https://archives.nseindia.com/corporate/xbrl/IT_1042675_40541_29092018034401_WEB.xml,540575,NOTLISTED,Star Cement Limited,INE460H01021,Key Managerial Personnel,SANJAY KUMAR GUPTA,Equity Shares,22285,0.01,13063,1361752.5,Sell,9222,0.0,2018-09-27,2018-09-28,2018-09-29,Market Sale,NSE,1361752.5
CEREBRAINT,Cerebra Integrated Technologies Limited,7(2),Manish G Lakhi,Other,Equity Shares,1923720,1.6,,7500000.0,237417450,Buy,Equity Shares,9423720,7.83,27-Sep-2018,28-Sep-2018,29-Sep-2018,Market Purchase,-,-,0,0,0.0,0,"BSE,NSE",-,29-Sep-2018 15:37,https://archives.nseindia.com/corporate/xbrl/IT_1042671_40540_29092018033722_WEB.xml,532413,NOTLISTED,Cerebra Integrated Technologies Limited,INE345B01019,Other,Manish G Lakhi,Equity Shares,1923720,1.6,7500000,237417450.0,Buy,9423720,7.83,2018-09-27,2018-09-28,2018-09-29,Market Purchase,"BSE,NSE",237417450.0
SDBL,Som Distilleries & Breweries Limited,7(2),JAGDISH KUMAR ARORA,Promoters,Equity Shares,1912827,6.13,,10000.0,2006289,Buy,Equity Shares,1922827,6.16,27-Sep-2018,27-Sep-2018,28-Sep-2018,Market Purchase,-,-,0,0,0.0,0,NSE,-,29-Sep-2018 15:35,https://archives.nseindia.com/corporate/xbrl/IT_1042674_40539_29092018033520_WEB.xml,0,NOTLISTED,Som Distilleries & Breweries Limited,INE480C01012,Promoters,JAGDISH KUMAR ARORA,Equity Shares,1912827,6.13,10000,2006289.0,Buy,1922827,6.16,2018-09-27,2018-09-27,2018-09-28,Market Purchase,NSE,2006289.0
DIXON,Dixon Technologies (India) Limited,7(2),GOPAL JAGWAN,Employees/Designated Employees,Equity Shares,14750,0.13,,3500.0,9091154,Sell,Equity Shares,11250,0.10,28-Sep-2018,28-Sep-2018,29-Sep-2018,Market Sale,-,-,0,0,0.0,0,NSE,-,29-Sep-2018 15:15,https://archives.nseindia.com/corporate/xbrl/IT_1042672_40527_29092018031514_WEB.xml,540699,NOTLISTED,Dixon Technologies (India) Limited,INE935N01012,Employees/Designated Employees,GOPAL JAGWAN,Equity Shares,14750,0.13,3500,9091154.0,Sell,11250,0.1,2018-09-28,2018-09-28,2018-09-29,Market Sale,NSE,9091154.0
AHLWEST,Asian Hotels (West) Limited,7(2),SANDEEP GUPTA,Director,Equity Shares,487603,4.18,,3565.0,1036677,Buy,Equity Shares,491168,4.22,28-Sep-2018,28-Sep-2018,29-Sep-2018,Market Purchase,-,-,0,0,0.0,0,NSE,-,29-Sep-2018 13:11,https://archives.nseindia.com/corporate/xbrl/IT_1042670_40494_29092018011131_WEB.xml,0,NOTLISTED,Asian Hotels (West) Limited,INE915K01010,Director,SANDEEP GUPTA,Equity Shares,487603,4.18,3565,1036677.0,Buy,491168,4.22,2018-09-28,2018-09-28,2018-09-29,Market Purchase,NSE,1036677.0
BHARATFIN,Bharat Financial Inclusion Limited,7(2),P S Srinivasu,Employees/Designated Employees,Equity Shares,10675,0.01,,3000.0,3141442,Sell,Equity Shares,7675,0.00,27-Sep-2018,28-Sep-2018,29-Sep-2018,ESOP,-,-,0,0,0.0,0,,-,29-Sep-2018 12:44,https://archives.nseindia.com/corporate/xbrl/IT_1042669_40485_29092018124457_WEB.xml,533228,NOTLISTED,Bharat Financial Inclusion Limited,INE180K01011,Employees/Designated Employees,P S Srinivasu,Equity Shares,10675,0.01,3000,3141442.0,Sell,7675,0.0,2018-09-27,2018-09-28,2018-09-29,ESOP,,3141442.0
