"SYMBOL ","COMPANY ","REGULATION ","NAME OF THE ACQUIRER/DISPOSER ","CATEGORY OF PERSON ","TYPE OF SECURITY (PRIOR) ","NO. OF SECURITY (PRIOR) ","% SHAREHOLDING (PRIOR) ","TYPE OF SECURITY (ACQUIRED/DISPLOSED) ","NO. OF SECURITIES (ACQUIRED/DISPLOSED) ","VALUE OF SECURITY (ACQUIRED/DISPLOSED) ","ACQUISITION/DISPOSAL TRANSACTION TYPE ","TYPE OF SECURITY (POST) ","NO. OF SECURITY (POST) ","% POST ","DATE OF ALLOTMENT/ACQUISITION FROM ","DATE OF ALLOTMENT/ACQUISITION TO ","DATE OF INITMATION TO COMPANY ","MODE OF ACQUISITION ","DERIVATIVE TYPE SECURITY ","DERIVATIVE CONTRACT SPECIFICATION ","NOTIONAL VALUE(BUY) ","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) ","NOTIONAL VALUE(SELL) ","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) ","EXCHANGE ","REMARK ","BROADCASTE DATE AND TIME ","XBRL "
"MADHAV","Madhav Marbles and Granites Limited","7(2)","ARUNA DOSHI","Immediate relative","Equity Shares","639221","7.14",,"1067","37393.71","Buy","Equity Shares","640288","7.16","28-Jun-2019","28-Jun-2019","28-Jun-2019","Market Purchase","-","-","0","0","0","0","NSE","-","30-Jun-2019 17:56","https://archives.nseindia.com/corporate/xbrl/IT_1054121_109912_30062019055629_WEB.xml"
"MADHAV","Madhav Marbles and Granites Limited","7(2)","ARUNA DOSHI","Immediate relative","Equity Shares","638611","7.14",,"610","21403.89","Buy","Equity Shares","639221","7.14","27-Jun-2019","27-Jun-2019","28-Jun-2019","Market Purchase","-","-","0","0","0","0","NSE","-","30-Jun-2019 17:56","https://archives.nseindia.com/corporate/xbrl/IT_1054121_109912_30062019055629_WEB.xml"
"TECHNOFAB","Technofab Engineering Limited","7(2)","ARJUN GUPTA","Promoters","Equity Shares","432872","4.13",,"2392421","22.81","Buy","Equity Shares","2825293","26.93","27-Jun-2019","27-Jun-2019","29-Jun-2019","Gift","-","-","0","0","0","0","NA","-","30-Jun-2019 15:43","https://archives.nseindia.com/corporate/xbrl/IT_1054120_109911_30062019034314_WEB.xml"
"TECHNOFAB","Technofab Engineering Limited","7(2)","AVINASH CHANDER GUPTA","Promoters","Equity Shares","3313096","31.58",,"2392421","22.81","Sell","Equity Shares","920675","8.78","27-Jun-2019","27-Jun-2019","29-Jun-2019","Gift","-","-","0","0","0","0","NA","-","30-Jun-2019 15:43","https://archives.nseindia.com/corporate/xbrl/IT_1054120_109911_30062019034314_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Murali Ramakrishnan","Employees/Designated Employees","Equity Shares","119250","0",,"7500","1667700","Buy","Equity Shares","126750","0.00","28-Jun-2019","28-Jun-2019","28-Jun-2019","ESOP","-","-","0","0","0","0","NA","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Shilpa Kumar","Employees/Designated Employees","Equity Shares","135105","0",,"20000","8860000","Sell","Equity Shares","115105","0.00","27-Jun-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ANUJ BHARGAVA","Employees/Designated Employees","Equity Shares","21600","0",,"11600","5124232","Sell","Equity Shares","10000","0.00","27-Jun-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","PRABHJOT SINGH CHHABRA","Employees/Designated Employees","Equity Shares","2310","0",,"2310","1015381.15","Sell","Equity Shares","Nil","0.00","27-Jun-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","BSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","ANISH SADANANDAN","Employees/Designated Employees","Equity Shares","6600","0",,"2600","1120076.65","Sell","Equity Shares","4000","0.00","03-Apr-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","MOHD KHAN","Employees/Designated Employees","Equity Shares","3762","0",,"3762","1621342.10","Sell","Equity Shares","Nil","0.00","18-Jun-2019","27-Jun-2019","28-Jun-2019","Market Sale","-","-","0","0","0","0","BSE","-","30-Jun-2019 08:33","https://archives.nseindia.com/corporate/xbrl/IT_1054117_109910_30062019083350_WEB.xml"
